# Descripciones para detección de avocados con clasificación de maduración (5 etapas)
# Formato: descripción, etiqueta
# Compatible con dataset de clasificación 1-5

# Estados específicos de madurez de avocados (basado en Ripening Index Classification)
a light green underripe avocado with firm texture, underripe
a green avocado starting to ripen at breaking stage, breaking
a dark green ripe avocado in first stage ready for harvest, ripe_first
a dark green to black ripe avocado in second stage at optimal harvest, ripe_second
a very dark overripe avocado past optimal harvest time, overripe

# Elementos adicionales del árbol de avocado
a green avocado tree leaf, leaf
a brown avocado tree branch, branch
a small yellowish avocado tree flower, flower

# Fondo y otros elementos
soil or background or other elements, background
